Protein accession	Sequence MD5 digest	sequence length	Analysis	Signature accession	signature description	Start location	Stop location	Score	Status	Data	InterPro annotations accession	InterPro annotations description	NCBI annotation	species
gi|1149076664|gb|AQS99304.1|	039e30043d4715d6f330e236ec69b1e0	900	Pfam	PF00109	"Beta-ketoacyl synthase, N-terminal domain"	150	404	9.80E-31	T	09-08-2021	IPR014030	"Beta-ketoacyl synthase, N-terminal"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076664|gb|AQS99304.1|	039e30043d4715d6f330e236ec69b1e0	900	Gene3D	G3DSA:3.40.47.10	-	147	611	1.60E-89	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076664|gb|AQS99304.1|	039e30043d4715d6f330e236ec69b1e0	900	CDD	cd00833	PKS	150	585	2.76E-85	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076664|gb|AQS99304.1|	039e30043d4715d6f330e236ec69b1e0	900	SUPERFAMILY	SSF53901	Thiolase-like	145	535	1.09E-39	T	09-08-2021	IPR016039	Thiolase-like	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076664|gb|AQS99304.1|	039e30043d4715d6f330e236ec69b1e0	900	Pfam	PF02801	"Beta-ketoacyl synthase, C-terminal domain"	423	534	2.20E-20	T	09-08-2021	IPR014031	"Beta-ketoacyl synthase, C-terminal"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076664|gb|AQS99304.1|	039e30043d4715d6f330e236ec69b1e0	900	PANTHER	PTHR43775	FATTY ACID SYNTHASE	148	585	3.80E-77	T	09-08-2021	-	-	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
gi|1149076664|gb|AQS99304.1|	039e30043d4715d6f330e236ec69b1e0	900	SMART	SM00825	Beta-ketoacyl synthase	151	586	9.20E-22	T	09-08-2021	IPR020841	"Polyketide synthase, beta-ketoacyl synthase domain"	type I polyketide synthase [Gambierdiscus polynesiensis]	Gambierdiscus polynesiensis
Cluster-13398.21084	c899a689f658eeaad9bd2970eafb0ecc	447	CDD	cd00830	KAS_III	122	445	9.97E-140	T	09-08-2021	IPR004655	3-oxoacyl-[acyl-carrier-protein] synthase 3	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.21084	c899a689f658eeaad9bd2970eafb0ecc	447	Gene3D	G3DSA:3.40.47.10	-	122	447	1.10E-127	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.21084	c899a689f658eeaad9bd2970eafb0ecc	447	SUPERFAMILY	SSF53901	Thiolase-like	119	447	1.92E-67	T	09-08-2021	IPR016039	Thiolase-like	predicted ORF protein	Gambierdiscus caribaeus
Cluster-13398.21084	c899a689f658eeaad9bd2970eafb0ecc	447	PANTHER	PTHR43091:SF1	"3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE III, CHLOROPLASTIC"	122	446	2.50E-132	T	09-08-2021	-	-	predicted ORF protein	Gambierdiscus caribaeus
