ID1,ID2,Alignment Score
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440802455|gb|ELR23384.1| 10,151.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|470530050|ref|XP_004368174.1| 13,373.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Alexandrium ostenfeldii gi|414091049|gb|AFW98412.1| 2,174.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Alexandrium ostenfeldii gi|414091047|gb|AFW98411.1| 2,162.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Alexandrium ostenfeldii gi|414091051|gb|AFW98413.1| 3,173.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Chromista Myzozoa Dinophyceae Alexandrium tamarense gi|145423862|gb|ABP68563.1| 2,125.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena azotica gi|1909593066|ref|WP_190479175.1| 2,151.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena azotica gi|1909581585|ref|WP_190467952.1| 6,175.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena azotica gi|1909586897|ref|WP_190473264.1| 3,158.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena catenula gi|1910040393|ref|WP_190907917.1| 2,100.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena catenula gi|1910037515|ref|WP_190905039.1| 6,181.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena catenula gi|1951873853|ref|WP_199332662.1| 2,162.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena cylindrica gi|1419268981|emb|SRX82151.1| 7,194.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena cylindrica gi|428680771|gb|AFZ59537.1| 2,153.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena cylindrica gi|1210087092|dbj|BAY06234.1| 11,201.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena lutea gi|1909833358|ref|WP_190711821.1| 3,157.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena lutea gi|1909838249|ref|WP_190716635.1| 3,106.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena minutissima gi|1909818713|ref|WP_190697601.1| 3,167.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena minutissima gi|1909818288|ref|WP_190697176.1| 3,157.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena minutissima gi|1450318848|gb|AXN93597.1| 10,203.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena sp. gi|1832805667|ref|WP_168538628.1| 5,209.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena sp. gi|1832805661|ref|WP_168538622.1| 4,201.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena sp. gi|1039198869|gb|OBQ39837.1| 6,166.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena sphaerica gi|1909675424|ref|WP_190559141.1| 6,183.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena sphaerica gi|1909677557|ref|WP_190561274.1| 3,154.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena sphaerica gi|1951847915|ref|WP_199306724.1| 2,168.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena subtropica gi|1909515486|ref|WP_190405310.1| 3,168.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena subtropica gi|1909517396|ref|WP_190407220.1| 3,158.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Bacteria Cyanobacteria Cyanophyceae Anabaena subtropica gi|1909518865|ref|WP_190408689.1| 9,172.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Viridiplantae Streptophyta Magnoliopsida Arabidopsis arenosa gi|2065818552|gb|KAG7587082.1| 2,148.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Viridiplantae Streptophyta Magnoliopsida Arabidopsis suecica gi|2065767661|gb|KAG7536206.1| 2,151.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Viridiplantae Streptophyta Magnoliopsida Arabidopsis suecica gi|2065822665|gb|KAG7590164.1| 2,148.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Viridiplantae Streptophyta Magnoliopsida Arabidopsis suecica gi|2065822666|gb|KAG7590165.1| 2,148.0
Protozoa Amoebozoa Discosea Acanthamoeba castellanii gi|440804542|gb|ELR25419.1| 13,Viridiplantae Streptophyta Magnoliopsida Arabidopsis thaliana gi|332007982|gb|AED95365.1| 2,151.0
